Sw H+ Iono H	South to North	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
1.22E-07	-0.469136109	-1.08E-07	-0.406105245
-8.82E-08	-0.469136352	-1.32E-07	-0.40610582
-3.70E-08	-0.469136512	9.61E-08	-0.406106179
7.33E-08	-0.469136837	1.31E-07	-0.406106725
4.06E-07	-0.469137708	-9.32E-08	-0.406107089
-3.44E-07	-0.469138239	-3.42E-07	-0.406108179
-3.44E-07	-0.469140212	2.80E-07	-0.406108965
2.74E-07	-0.469140771	2.95E-07	-0.40611033
3.11E-07	-0.46914244	-2.41E-07	-0.406111013
-2.48E-07	-0.469142942	-1.13E-07	-0.406111285
-2.58E-07	-0.469144393	-1.49E-07	-0.406111914
1.95E-07	-0.469144873	1.09E-07	-0.406112319
2.10E-07	-0.469146029	-2.00E-07	-0.406113184
-1.62E-07	-0.4691464	1.53E-07	-0.406113701
-2.00E-07	-0.469147429	1.79E-07	-0.406114493
1.56E-07	-0.469147776	-1.31E-07	-0.406114978
6.89E-08	-0.469148046	-5.71E-08	-0.406115135
1.03E-07	-0.46914853	-8.42E-08	-0.406115476
-7.32E-08	-0.469148743	5.91E-08	-0.406115714
1.41E-07	-0.469149398	2.47E-08	-0.406115787
-1.04E-07	-0.469149673	4.14E-08	-0.406115947
-1.36E-07	-0.469150354	-2.84E-08	-0.406116066
9.78E-08	-0.469150632	-4.87E-08	-0.406116254
4.16E-08	-0.469150808	3.33E-08	-0.406116395
6.54E-08	-0.469151109	3.64E-07	-0.406117417
-4.54E-08	-0.469151249	-3.02E-07	-0.406118237
-1.88E-08	-0.469151333	-3.11E-07	-0.406119688
-3.27E-08	-0.469151477	2.56E-07	-0.406120395
2.23E-08	-0.469151549	1.21E-07	-0.406120681
3.93E-08	-0.469151721	1.57E-07	-0.406121347
-2.68E-08	-0.469151809	-1.15E-07	-0.406121769
-3.69E-07	-0.469152858	2.09E-07	-0.406122678
3.07E-07	-0.469153378	-1.60E-07	-0.406123212
3.15E-07	-0.469155158	-1.85E-07	-0.406124034
-2.60E-07	-0.469155611	1.36E-07	-0.406124531
-1.23E-07	-0.469156038	5.92E-08	-0.406124693
-3.96E-07	-0.469157458	3.28E-07	-0.406125675
3.24E-07	-0.469158044	-2.60E-07	-0.406126473
3.43E-07	-0.469159953	-1.25E-07	-0.40612676
-2.80E-07	-0.469160467	-5.44E-08	-0.406126908
-2.80E-07	-0.469162073	-2.24E-08	-0.406126976
2.15E-07	-0.469162573	-3.94E-08	-0.406127126
2.66E-07	-0.469163941	2.69E-08	-0.40612724
-2.13E-07	-0.469164363	1.09E-08	-0.406127274
-2.38E-07	-0.469165653	2.03E-08	-0.40612735
1.91E-07	-0.46916603	-1.37E-08	-0.406127409
1.96E-07	-0.46916714	-3.27E-07	-0.406128293
-1.48E-07	-0.469167501	2.72E-07	-0.406129024
-1.78E-07	-0.46916843	2.78E-07	-0.406130326
1.30E-07	-0.469168783	-2.18E-07	-0.406131016
5.62E-08	-0.469169013	-2.58E-07	-0.406132151
8.39E-08	-0.469169409	2.03E-07	-0.406132785
-5.88E-08	-0.469169587	2.17E-07	-0.406133784
-3.07E-07	-0.469170574	-1.63E-07	-0.406134358
2.53E-07	-0.469171018	-7.21E-08	-0.406134549
2.64E-07	-0.469172499	-1.00E-07	-0.406134964
-2.05E-07	-0.469172953	7.11E-08	-0.406135243
-2.48E-07	-0.469174242	1.06E-07	-0.40613567
1.94E-07	-0.469174662	-7.42E-08	-0.406135969
3.12E-07	-0.469176083	-3.09E-08	-0.406136061
-2.43E-07	-0.469176621	-5.22E-08	-0.406136263
-2.43E-07	-0.469178015	3.58E-08	-0.406136413
1.93E-07	-0.469178412	1.46E-08	-0.406136458
3.84E-07	-0.46918002	2.65E-08	-0.406136558
-3.12E-07	-0.469180606	-1.80E-08	-0.406136636
-3.37E-07	-0.469182462	-7.28E-09	-0.406136658
2.73E-07	-0.46918298	-1.37E-08	-0.40613671
2.75E-07	-0.469184554	9.24E-09	-0.40613675
-2.10E-07	-0.469185053	1.75E-08	-0.406136815
-2.81E-07	-0.469186445	-1.18E-08	-0.406136866
2.26E-07	-0.469186889	-4.74E-09	-0.406136881
2.51E-07	-0.469188252	-9.17E-09	-0.406136915
-2.02E-07	-0.469188647	6.15E-09	-0.406136942
-2.45E-07	-0.469189918	3.43E-07	-0.406137854
1.89E-07	-0.469190347	-2.86E-07	-0.40613862
2.14E-07	-0.469191497	-2.92E-07	-0.406139989
-1.58E-07	-0.46919191	2.29E-07	-0.406140712
-1.82E-07	-0.469192879	2.70E-07	-0.406141903
1.38E-07	-0.469193213	-2.13E-07	-0.406142566
1.79E-07	-0.469194111	-3.18E-07	-0.406143848
-1.37E-07	-0.469194431	2.47E-07	-0.406144647
-1.59E-07	-0.469195275	2.48E-07	-0.406145817
1.17E-07	-0.469195586	-1.96E-07	-0.406146422
1.54E-07	-0.469196353	-2.26E-07	-0.406147427
-1.10E-07	-0.469196667	1.79E-07	-0.406147976
-3.61E-07	-0.469197957	1.88E-07	-0.406148847
2.96E-07	-0.469198491	-1.41E-07	-0.406149341
3.13E-07	-0.469200235	-1.73E-07	-0.406150093
-2.56E-07	-0.469200704	1.26E-07	-0.406150565
-2.56E-07	-0.469202171	5.42E-08	-0.406150717
1.96E-07	-0.469202627	3.58E-07	-0.406151769
8.96E-08	-0.46920296	-2.85E-07	-0.40615264
1.15E-07	-0.469203542	-1.37E-07	-0.406152953
-8.30E-08	-0.469203775	-1.58E-07	-0.406153655
-1.17E-07	-0.469204342	1.16E-07	-0.40615408
8.31E-08	-0.469204586	1.52E-07	-0.406154724
3.47E-07	-0.469205755	-1.09E-07	-0.406155145
-2.86E-07	-0.469206262	-4.65E-08	-0.406155278
-2.99E-07	-0.469207937	-7.31E-08	-0.406155568
2.45E-07	-0.469208381	5.08E-08	-0.406155777
1.15E-07	-0.469208789	2.10E-08	-0.40615584
4.04E-07	-0.469210205	3.65E-08	-0.40615598
-3.32E-07	-0.469210801	-2.49E-08	-0.406156085
-3.50E-07	-0.469212752	-1.01E-08	-0.406156117
2.86E-07	-0.469213274	-4.09E-09	-0.406156129
2.86E-07	-0.469214915	-1.64E-09	-0.406156135
-2.19E-07	-0.469215424	-3.24E-09	-0.406156147
-1.00E-07	-0.469215796	2.17E-09	-0.406156156
-1.29E-07	-0.469216447	8.67E-10	-0.406156159
9.28E-08	-0.469216708	1.72E-09	-0.406156165
3.96E-08	-0.469216874	-1.15E-09	-0.40615617
6.15E-08	-0.469217159	-4.60E-10	-0.406156172
-4.28E-08	-0.46921729	-9.17E-10	-0.406156175
-6.91E-08	-0.469217605	6.12E-10	-0.406156178
4.78E-08	-0.469217754	-1.22E-09	-0.406156182
1.97E-08	-0.469217842	8.17E-10	-0.406156186
3.47E-08	-0.469217994	3.27E-10	-0.406156187
-2.36E-08	-0.469218071	6.52E-10	-0.406156189
-9.60E-09	-0.469218115	-4.35E-10	-0.406156191
-1.78E-08	-0.469218192	-1.74E-10	-0.406156192
1.20E-08	-0.469218232	-3.47E-10	-0.406156193
2.25E-08	-0.469218328	2.32E-10	-0.406156194
-1.52E-08	-0.469218379	3.16E-07	-0.406157021
-6.12E-09	-0.469218407	-2.64E-07	-0.406157723
-1.17E-08	-0.469218457	-2.68E-07	-0.406158982
7.88E-09	-0.469218483	2.11E-07	-0.406159644
3.53E-07	-0.469219432	2.48E-07	-0.406160737
-2.94E-07	-0.469219923	-1.95E-07	-0.406161345
-3.00E-07	-0.469221628	-2.89E-07	-0.406162515
2.36E-07	-0.469222135	2.24E-07	-0.406163242
2.78E-07	-0.469223598	2.25E-07	-0.406164307
-2.19E-07	-0.46922406	-1.78E-07	-0.406164857
-2.34E-07	-0.469225357	-3.63E-07	-0.406166185
1.75E-07	-0.469225798	2.95E-07	-0.406167036
7.78E-08	-0.469226102	3.19E-07	-0.406168494
3.39E-07	-0.469227233	-2.58E-07	-0.406169243
-2.69E-07	-0.469227792	-2.60E-07	-0.406170471
-1.28E-07	-0.469228231	1.98E-07	-0.406171142
-5.59E-08	-0.469228457	9.00E-08	-0.406171372
-8.64E-08	-0.469228857	3.82E-08	-0.406171481
6.11E-08	-0.469229038	6.35E-08	-0.406171728
-1.19E-07	-0.469229583	-4.41E-08	-0.406171909
8.64E-08	-0.46922982	8.72E-08	-0.406172253
3.63E-08	-0.469229977	-6.19E-08	-0.406172497
-7.18E-08	-0.469230296	-2.56E-08	-0.406172574
-3.90E-07	-0.469231129	5.10E-08	-0.40617277
3.30E-07	-0.469231637	3.96E-07	-0.406173672
3.30E-07	-0.469233533	-3.33E-07	-0.406174534
-2.63E-07	-0.469234069	-3.53E-07	-0.406176163
-2.99E-07	-0.469235673	2.82E-07	-0.406177016
2.38E-07	-0.469236154	3.18E-07	-0.406178444
2.48E-07	-0.469237548	-2.54E-07	-0.40617921
-1.87E-07	-0.469238007	-3.29E-07	-0.406180607
-8.36E-08	-0.46923833	2.54E-07	-0.406181438
-1.13E-07	-0.469238888	2.56E-07	-0.406182647
8.09E-08	-0.469239122	-2.02E-07	-0.406183277
2.92E-07	-0.469240138	-2.35E-07	-0.40618432
-2.40E-07	-0.469240568	1.86E-07	-0.406184894
-3.36E-07	-0.469242196	8.40E-08	-0.40618511
2.70E-07	-0.469242723	1.20E-07	-0.406185602
2.99E-07	-0.46924435	-8.63E-08	-0.406185932
-2.40E-07	-0.46924482	1.64E-07	-0.40618662
-2.45E-07	-0.469246213	-1.22E-07	-0.406187054
1.86E-07	-0.469246663	-1.54E-07	-0.406187714
1.97E-07	-0.46924776	1.11E-07	-0.406188135
-1.53E-07	-0.469248103	4.76E-08	-0.40618827
-1.86E-07	-0.469249068	7.30E-08	-0.406188561
1.39E-07	-0.469249421	-5.10E-08	-0.406188769
-2.42E-07	-0.46925064	-2.99E-07	-0.40618966
1.89E-07	-0.469251058	2.47E-07	-0.40619034
3.28E-07	-0.469252506	3.25E-07	-0.406191715
-2.56E-07	-0.469253069	-2.61E-07	-0.406192492
-2.56E-07	-0.469254538	-2.90E-07	-0.406193805
2.04E-07	-0.469254954	2.33E-07	-0.406194497
3.97E-07	-0.469256629	2.84E-07	-0.406195735
-3.22E-07	-0.469257236	-2.20E-07	-0.406196456
-3.49E-07	-0.469259155	-1.01E-07	-0.406196706
2.82E-07	-0.46925969	-2.94E-07	-0.40619769
2.85E-07	-0.469261319	2.32E-07	-0.406198416
-2.17E-07	-0.469261835	2.49E-07	-0.406199556
-2.92E-07	-0.469263278	-1.86E-07	-0.406200213
2.35E-07	-0.469263738	-2.06E-07	-0.406201144
2.60E-07	-0.469265153	1.57E-07	-0.406201672
-2.09E-07	-0.469265562	4.66E-07	-0.406203224
-2.14E-07	-0.469266776	-3.81E-07	-0.406204302
1.62E-07	-0.469267169	-4.05E-07	-0.406206168
1.94E-07	-0.469268182	3.30E-07	-0.406207109
-1.42E-07	-0.469268565	1.65E-07	-0.406207458
-1.70E-07	-0.469269453	1.76E-07	-0.406208269
1.27E-07	-0.469269773	-1.32E-07	-0.406208734
1.71E-07	-0.469270619	-1.64E-07	-0.406209443
-1.30E-07	-0.469270931	1.19E-07	-0.406209891
-1.54E-07	-0.469271741	5.10E-08	-0.406210035
1.13E-07	-0.469272045	3.54E-07	-0.406211069
4.89E-08	-0.469272245	-2.82E-07	-0.406211928
2.02E-08	-0.469272335	-1.35E-07	-0.406212237
8.18E-09	-0.469272373	-1.56E-07	-0.406212931
1.55E-08	-0.469272439	1.15E-07	-0.40621335
-1.05E-08	-0.469272474	1.50E-07	-0.406213986
-4.21E-09	-0.469272493	-1.08E-07	-0.406214401
-8.17E-09	-0.469272528	-3.48E-07	-0.406215542
5.47E-09	-0.469272546	2.86E-07	-0.406216345
3.36E-07	-0.469273441	3.02E-07	-0.40621774
