Sw H + Iono O	North to South	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-2.877719016	-2.646358545	2.714618183	-2.776881346
-2.907717242	-2.65382	2.742716967	-2.789610169
-2.937742311	-2.661102907	2.770882486	-2.802218982
-2.958406403	-2.66600356	2.799093248	-2.814717513
-2.972234154	-2.669229554	2.827360958	-2.827108015
-2.981473478	-2.671360219	2.855670571	-2.839372977
-2.987642328	-2.672771531	2.884029764	-2.85151613
-2.991759056	-2.673708279	2.91245385	-2.863560676
-2.994505399	-2.674330923	2.940920719	-2.875503974
-2.996337123	-2.674745188	2.960520938	-2.883647757
-2.99755864	-2.675020994	2.973638591	-2.889057052
-2.998373149	-2.675204699	2.982406795	-2.892653914
-2.998916228	-2.675327096	2.988263563	-2.895047783
-2.999278314	-2.675408661	2.992172599	-2.896641564
-2.999519718	-2.675463023	2.994780646	-2.897703124
-2.999680661	-2.675499257	2.996520247	-2.898410399
-2.999787959	-2.675523411	2.997680383	-2.898881723
-2.999859492	-2.675539512	2.998453987	-2.899195852
-2.999907182	-2.675550246	2.998969802	-2.899405234
-2.999938975	-2.675557401	2.999313714	-2.899544804
-2.999960171	-2.675562171	2.999543005	-2.899637843
-2.999974301	-2.675565351	2.999695872	-2.899699866
-2.999983721	-2.675567471	2.999797787	-2.899741213
-2.999990001	-2.675568885	2.999865732	-2.899768777
-2.999994188	-2.675569827	2.999911029	-2.899787153
-2.99999698	-2.675570455	2.999941227	-2.899799403
-2.99999884	-2.675570874	2.999961359	-2.89980757
-3.000000701	-2.675571293	2.999974781	-2.899813015
-3.000008144	-2.675572968	2.999983729	-2.899816644
-3.000023031	-2.675576318	2.999989694	-2.899819064
-3.000082576	-2.675589717	2.999993671	-2.899820677
-3.001986884	-2.676017904	2.999996322	-2.899821753
-3.017156359	-2.679404575	2.999998089	-2.89982247
-3.047356976	-2.686015566	3.000000143	-2.899823273
-3.07759452	-2.692451079	3.000003392	-2.899824621
-3.10786666	-2.698699205	3.000031671	-2.899836092
-3.138180434	-2.704761918	3.000257888	-2.899927852
-3.168537289	-2.710654785	3.00071029	-2.900111335
-3.198936272	-2.716378964	3.002519034	-2.900844616
-3.229360284	-2.721918769	3.006134433	-2.902308868
-3.259809966	-2.727275388	3.013356802	-2.905228075
-3.29030907	-2.732466844	3.027767211	-2.911028795
-3.320836442	-2.737492789	3.056440996	-2.922474406
-3.351387149	-2.742341775	3.085158472	-2.933801945
-3.38196294	-2.747010747	3.11392899	-2.945003173
-3.412581976	-2.751513497	3.142750895	-2.956082611
-3.44321911	-2.755850625	3.171620947	-2.967055218
-3.473875511	-2.760012118	3.200538636	-2.97791846
-3.504561688	-2.763991478	3.220443156	-2.98531584
-3.535283137	-2.767799621	3.233760086	-2.9902271
-3.566016043	-2.771444894	3.242659469	-2.993491773
-3.596763622	-2.774920968	3.248601716	-2.995663819
-3.627539405	-2.778218705	3.252567669	-2.997110327
-3.658348727	-2.781345812	3.255213609	-2.998074215
-3.689160655	-2.784312764	3.256978324	-2.998716577
-3.719985696	-2.787115555	3.258155133	-2.999144713
-3.750831581	-2.789742891	3.258939821	-2.999430089
-3.781708204	-2.792202478	3.259463012	-2.999620319
-3.812587031	-2.794505376	3.259811835	-2.99974713
-3.8434745	-2.79664671	3.260044397	-2.999831666
-3.874375065	-2.798616054	3.260199444	-2.999888022
-3.905253304	-2.800401376	3.260302812	-2.999925591
-3.936128453	-2.801996791	3.260371724	-2.999950637
-3.957350918	-2.802979284	3.260417667	-2.999967335
-3.971539498	-2.803582136	3.260448295	-2.999978466
-3.981014751	-2.803959763	3.260468714	-2.999985887
-3.98733883	-2.804200493	3.260482327	-2.999990834
-3.991558116	-2.80435601	3.260491402	-2.999994132
-3.994372414	-2.804457459	3.260497452	-2.999996331
-3.996249253	-2.804524094	3.260501486	-2.999997797
-3.997500765	-2.804568072	3.260504175	-2.999998774
-3.998335234	-2.804597192	3.260506445	-3.000000574
-3.998891602	-2.804616517	3.26050776	-3.000000077
-3.99926254	-2.804629362	3.260536442	-3.000010501
-3.999509843	-2.804637907	3.260593805	-3.000031347
-3.999674716	-2.804643596	3.260708529	-3.000073038
-3.999784634	-2.804647385	3.26093797	-3.000156412
-3.999857913	-2.80464991	3.262772472	-3.000822741
-3.999906767	-2.804651592	3.266439396	-3.002153125
-3.999939336	-2.804652714	3.273764849	-3.004804731
-3.999961049	-2.804653461	3.28838159	-3.010070818
-3.999975524	-2.804653959	3.317473562	-3.020450637
-3.999985174	-2.804654291	3.346603752	-3.030702534
-3.999991608	-2.804654513	3.375791903	-3.040821048
-3.999995897	-2.80465466	3.405034118	-3.050815792
-3.999998756	-2.804654759	3.434308026	-3.060694902
-4.000000662	-2.804654824	3.463622825	-3.070451827
-4.000004475	-2.804654955	3.492975835	-3.080074929
-4.0000121	-2.804655218	3.522375817	-3.089576014
-4.000027349	-2.804655743	3.551820678	-3.098965898
-4.000149344	-2.804659939	3.581302709	-3.108235017
-4.000637282	-2.804676702	3.610818479	-3.117372485
-4.002588386	-2.804743398	3.64037617	-3.126382927
-4.010382355	-2.805004461	3.669977261	-3.135272631
-4.041388293	-2.805956567	3.699609292	-3.144034236
-4.102933883	-2.807460974	3.72927663	-3.152660232
-4.164467431	-2.808459084	3.758995161	-3.161148486
-4.225979551	-2.808891109	3.788755844	-3.169505324
-4.287513169	-2.808709565	3.818538545	-3.177734682
-4.349013271	-2.807955452	3.848361788	-3.185832099
-4.410456154	-2.806657245	3.878215318	-3.193781987
-4.47188091	-2.804766002	3.908071143	-3.201566135
-4.533371423	-2.802251491	3.937959533	-3.209176113
-4.594850644	-2.799178214	3.958541553	-3.214300106
-4.656261764	-2.795593159	3.972317448	-3.217673629
-4.717619974	-2.79146108	3.981525944	-3.219903433
-4.779020069	-2.786740938	3.987675865	-3.221381312
-4.840397174	-2.78148874	3.99178071	-3.222362638
-4.901703181	-2.775756863	3.994519463	-3.223015084
-4.962936019	-2.769514276	3.996346275	-3.223449254
-5.02416272	-2.762730839	3.997564585	-3.223738346
-5.085380282	-2.755452646	3.998376986	-3.223930915
-5.146518508	-2.747722868	3.998918673	-3.224059223
-5.207560836	-2.739503017	3.999279835	-3.224144731
-5.26853773	-2.730793031	3.999520628	-3.224201722
-5.329534602	-2.721623519	3.999681163	-3.22423971
-5.390444833	-2.712014118	3.999788191	-3.224265033
-5.451259033	-2.70193413	3.999859544	-3.224281913
-5.511975048	-2.69141094	3.999907113	-3.224293166
-5.572716645	-2.680491629	3.999938826	-3.224300668
-5.633381598	-2.669180755	3.999959968	-3.224305669
-5.693938168	-2.657451499	3.999974063	-3.224309003
-5.754394499	-2.645324233	3.99998346	-3.224311226
-5.814876382	-2.63281386	3.999989724	-3.224312708
-5.875269616	-2.619963397	3.999993901	-3.224313695
-5.916746268	-2.610927971	3.999996685	-3.224314354
-5.944454647	-2.604796568	3.999998541	-3.224314793
-5.962952183	-2.600658859	4.000000397	-3.224315232
-5.975295143	-2.597877604	4.000015246	-3.224318744
-5.983528802	-2.596013153	4.000134034	-3.224346841
-5.989020139	-2.594765569	4.000371601	-3.224403027
