 Sw H + Iono O	South to North 	T = 12:00:00	
Nightside		Dayside	
X[R]	Z[R]	X[R]	Z[R]
-1.86E-07	-0.465321863	3.37E-07	-0.423978341
-1.92E-07	-0.465322934	-2.81E-07	-0.423979011
1.45E-07	-0.465323298	-3.30E-07	-0.42398055
1.75E-07	-0.465324199	2.65E-07	-0.423981269
-1.28E-07	-0.465324555	2.96E-07	-0.423982679
-5.51E-08	-0.465324777	-2.37E-07	-0.423983322
-8.26E-08	-0.465325162	-2.98E-07	-0.423984672
5.79E-08	-0.465325341	2.31E-07	-0.423985361
3.07E-07	-0.46532632	2.58E-07	-0.42398659
-2.53E-07	-0.465326779	-2.06E-07	-0.423987153
-2.64E-07	-0.465328244	-2.32E-07	-0.423988256
2.05E-07	-0.46532871	1.86E-07	-0.42398876
2.47E-07	-0.465329985	2.36E-07	-0.423989824
-1.94E-07	-0.465330416	-1.83E-07	-0.42399037
-2.10E-07	-0.465331559	-2.06E-07	-0.423991347
1.57E-07	-0.465331969	1.52E-07	-0.423991854
6.93E-08	-0.465332237	3.06E-07	-0.42399302
2.90E-08	-0.465332361	-2.48E-07	-0.423993666
5.01E-08	-0.46533258	-3.90E-07	-0.423995283
-3.45E-08	-0.465332692	3.15E-07	-0.423996118
6.86E-08	-0.465332991	3.45E-07	-0.423997777
-4.80E-08	-0.465333139	-2.78E-07	-0.423998516
-7.55E-08	-0.465333484	-2.83E-07	-0.423999926
5.25E-08	-0.46533365	2.15E-07	-0.424000597
2.17E-08	-0.465333744	3.01E-07	-0.424001902
3.77E-08	-0.465333909	-2.42E-07	-0.42400255
-2.57E-08	-0.465333994	-2.68E-07	-0.424003833
-1.05E-08	-0.46533404	2.16E-07	-0.424004409
-4.22E-09	-0.46533406	9.88E-08	-0.424004689
-1.69E-09	-0.465334067	1.36E-07	-0.424005283
-3.35E-09	-0.465334081	-9.88E-08	-0.424005627
2.24E-09	-0.465334089	1.85E-07	-0.424006441
3.90E-07	-0.465335116	-1.39E-07	-0.424006884
-3.25E-07	-0.465335676	-1.69E-07	-0.42400766
-3.31E-07	-0.465337539	1.23E-07	-0.424008086
2.75E-07	-0.465338025	3.13E-07	-0.4240092
1.31E-07	-0.465338466	-2.55E-07	-0.424009854
1.67E-07	-0.465339302	-2.73E-07	-0.42401118
-1.23E-07	-0.465339633	2.22E-07	-0.424011753
2.21E-07	-0.465340718	2.22E-07	-0.424012868
-1.70E-07	-0.46534112	-1.70E-07	-0.42401339
-1.94E-07	-0.465342149	-1.98E-07	-0.424014317
1.43E-07	-0.465342535	1.45E-07	-0.424014809
3.01E-07	-0.465343762	3.23E-07	-0.424016003
-2.45E-07	-0.465344236	-2.63E-07	-0.424016683
-2.64E-07	-0.465345678	-2.83E-07	-0.424018053
2.14E-07	-0.465346095	2.29E-07	-0.42401865
9.91E-08	-0.465346448	1.06E-07	-0.424018946
1.34E-07	-0.465347102	1.43E-07	-0.424019576
-9.76E-08	-0.465347374	-1.04E-07	-0.424019936
1.81E-07	-0.465348241	1.93E-07	-0.424020795
-1.37E-07	-0.465348581	-1.46E-07	-0.424021254
-1.64E-07	-0.465349429	-1.75E-07	-0.424022063
1.20E-07	-0.46534976	1.28E-07	-0.4240225
2.88E-07	-0.46535088	3.06E-07	-0.424023607
-2.35E-07	-0.465351329	-2.49E-07	-0.424024249
-2.52E-07	-0.465352707	-3.77E-07	-0.424025833
1.94E-07	-0.465353161	3.21E-07	-0.424026542
2.39E-07	-0.465354382	1.59E-07	-0.424026931
-1.86E-07	-0.465354806	3.59E-07	-0.424028254
